species_id,種族名,属性,種族値合計,特性,生態,Lv,move_id,技名,技属性,分類,威力,命中,PP,多段
001,モコロン,無,210,けいかいかん,,1,MV_161,かくらん,無,変化,0,100,15,
001,モコロン,無,210,けいかいかん,,1,MV_162,いかく,無,変化,0,100,15,
001,モコロン,無,210,けいかいかん,,3,air_cannon,エアーキャノン,無,特殊,15,100,42,
001,モコロン,無,210,けいかいかん,,3,mvn_001,はっこう,無,特殊,15,85,36,
001,モコロン,無,210,けいかいかん,,3,mvn_078,りゅうが,竜,特殊,15,100,36,
001,モコロン,無,210,けいかいかん,,4,MV_119,りゅうきだん,竜,特殊,20,100,39,
001,モコロン,無,210,けいかいかん,,4,dragon_cannon,ドラゴンキャノン,竜,特殊,20,100,39,
001,モコロン,無,210,けいかいかん,,4,mvn_002,むそう,無,特殊,20,85,34,
001,モコロン,無,210,けいかいかん,,4,power_shot,パワーショット,無,特殊,20,100,39,
001,モコロン,無,210,けいかいかん,,5,MV_118,しょうりゅうだん,竜,特殊,25,100,36,
001,モコロン,無,210,けいかいかん,,5,MV_147,エナジーショット,無,特殊,25,100,36,
001,モコロン,無,210,けいかいかん,,5,MV_160,きゅうしょねらい,無,特殊,25,100,28,
001,モコロン,無,210,けいかいかん,,5,mvn_079,りゅうりんげき,竜,特殊,25,100,34,
001,モコロン,無,210,けいかいかん,,6,mvn_003,くうめい,無,特殊,30,90,32,
001,モコロン,無,210,けいかいかん,,6,mvn_004,そげき,無,特殊,30,90,30,
001,モコロン,無,210,けいかいかん,,6,mvn_080,りゅうみゃくだ,竜,特殊,30,100,32,
001,モコロン,無,210,けいかいかん,,6,mvn_082,りゅうそう,竜,特殊,30,100,28,
001,モコロン,無,210,けいかいかん,,7,MV_120,りゅうがんほう,竜,特殊,35,100,39,
001,モコロン,無,210,けいかいかん,,7,MV_148,こうだん,無,特殊,35,100,33,
001,モコロン,無,210,けいかいかん,,7,MV_149,くうあつほう,無,特殊,35,100,30,
001,モコロン,無,210,けいかいかん,,7,dragon_burst,ドラゴンバースト,竜,特殊,35,100,33,
001,モコロン,無,210,けいかいかん,,8,MV_117,りゅうりんとばし,竜,特殊,40,100,30,
001,モコロン,無,210,けいかいかん,,8,mvn_081,りゅうそくだん,竜,特殊,40,100,30,
001,モコロン,無,210,けいかいかん,,9,dragon_breath,ドラゴンブレス,竜,特殊,45,100,27,
001,モコロン,無,210,けいかいかん,,9,mvn_083,りゅうもん,竜,特殊,45,100,26,
001,モコロン,無,210,けいかいかん,,10,mvn_084,りゅうい,竜,特殊,50,100,24,
001,モコロン,無,210,けいかいかん,,10,mvn_085,りゅうせい,竜,特殊,50,100,24,
001,モコロン,無,210,けいかいかん,,11,mvn_086,りゅうせん,竜,特殊,55,100,24,
001,モコロン,無,210,けいかいかん,,11,mvn_087,りゅうりん,竜,特殊,55,100,21,
001,モコロン,無,210,けいかいかん,,12,MV_115,ようりゅうのほうこう,竜,特殊,60,100,24,
001,モコロン,無,210,けいかいかん,,12,blast_cannon,ブラストキャノン,竜,特殊,60,100,18,
